tconst,titleType,startYear,runtimeMinutes,averageRating,numVotes,Adventure,Animation,Family,Mystery,Horror,Musical,Comedy,Fantasy,Documentary,War,Crime,Film-Noir,Romance,Action,Drama,Thriller,Sci-Fi,Western,History,Biography,title,language
tt0054345,movie,1960,117,7.1,2675,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Liaisons secrètes,fr
tt0054353,movie,1960,133,7.1,4896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Horizons sans frontières,fr
tt0054357,movie,1960,126,7.1,18381,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Les Robinsons des mers du sud,fr
tt0054371,movie,1960,103,6.9,3863,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,De 1000 ogen van Dr. Mabuse,fr
tt0054387,movie,1960,103,7.5,45312,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,La machine à explorer le temps,fr
tt0054393,movie,1960,75,4.8,2986,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Tormented,fr
tt0054407,movie,1960,131,8.5,20716,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Le trou,fr
tt0054416,movie,1960,88,6.3,3417,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Les deux visages de Dr. Jekyll,fr
tt0054428,movie,1960,125,6.6,9874,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Le vent de la plaine,fr
tt0054443,movie,1960,77,7.3,19306,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Le village des damnés,fr
tt0054452,movie,1960,127,7.6,4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,La vérité,fr
tt0054453,movie,1960,99,6.3,2588,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Le rafiot héroïque,fr
tt0054469,movie,1960,99,6.7,3144,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Ces folles filles d'Ève,fr
tt0054476,movie,1960,110,7.5,6245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,Le Fleuve sauvage,fr
tt0054483,movie,1960,126,6.9,2784,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Le monde de Suzie Wong,fr
tt0054494,movie,1960,93,6.9,6813,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Zazie dans le métro,fr
tt0054594,movie,1961,97,6.7,9373,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Le roi des distraits,fr
tt0054632,movie,1961,94,7.6,25126,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,L'année dernière à Marienbad,fr
tt0054649,movie,1961,106,6.1,4866,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Babes in Toyland,fr
tt0054687,movie,1961,77,7.4,5772,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Blast of Silence,fr
tt0054691,movie,1961,68,3.6,2600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bloodlust,fr
tt0054692,movie,1961,102,6.1,7640,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sous le ciel bleu de Hawaï,fr
tt0054698,movie,1961,115,7.6,193719,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Diamants sur canapé,fr
tt0054727,movie,1961,90,6,2527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Carry on Regardless,fr
tt0054743,movie,1961,108,7.8,18744,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,La rumeur,fr
tt0054749,movie,1960,101,7.7,12595,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Deux femmes,fr
tt0054756,movie,1961,127,5.8,4289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Le colosse de Rhodes,fr
tt0054757,movie,1961,107,6.8,10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Les Comancheros,fr
tt0054759,movie,1961,112,6.9,4121,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Le rendez-vous de septembre,fr
tt0054777,movie,1961,93,6.5,6954,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,La nuit du loup-garou,fr
tt0054790,movie,1961,99,7.2,6350,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Le jour où la terre brûlera,fr
tt0054795,movie,1961,93,6.1,2835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,New Mexico,fr
tt0054805,movie,1961,126,6.4,2637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Le diable à quatre heures,fr
